Beanie Baby Name,Animal/Character,Hang Tag,Mint,Non Mint,No Tag,Style #,Notes & Exclusivity
Velvet,Panther,3,$22-50,$12-20,$1-3,4065,with a 2nd gen tush tag
Velvet,Panther,4,$3-8,$1-3,$1,4064,
Victory,Bear,12,$4-8,$1-3,$1,44020,Ty Store
Villager,Moose,13,$12-22,$3-9,$1-3,46032,Canada
Villager Key-clip,Moose,14 sm,$8-12,$1-5,$1,46076,Canada
Vines,Monkey,18,$7-12,$2-5,$1-3,42017,
Vines,Monkey,BB2.0,$8-14,$2-5,$1-3,42017,
Vines (Scholastic back of hang tag) Smaller Style.,Monkey,BB2.0,$80- 100,$40-60,$20,None,Scholastic Program. In Kit.
Vines (2012 redesign) (big eyes),Monkey,19,$8-15,$2-5,$1-3,42017,
Violetta,Cat,14,$4-12,$1-3,$1,40360,
Virunga,Gorilla,BBOM,$2-6,$1,$1,4805,BBOM
Viva Las Beanie,Bear: Elvis,15,$4-12,$1-3,$1,47110,Walgreens
Volley,Bear,15,$13-20,$5-9,$1-3,40789,
W (W beanie),Bear,Alphabet,$1-3,$1,$1,40523,
Waddle,Penguin,3,$30-45,$12-25,$1-5,4075,with a 1st gen tush tag
Waddle,Penguin,3,$20-30,$8-14,$1-3,4075,with a 2nd gen tush tag
Waddle,Penguin,"4,5",$1-10,$1,$1,4075,false rumors about this beanie
Wailea,Bear,14,$2-7,$1-3,$1,40379,
Walden,Wow Wow Wubbzy,15,$10-20,$1-10,$1-10,40740,
Wales ( ag),Bear,7,$5-11,$2-5,$1,4610,Wales
Wales (I Love),Bear,12,$9-12,$2-5,$1,46012,UK
Walker,Bunny Rabbit,19,$10-25,$1-3,$1,41178,Goes cheap on auctions
Wallace,Bear,5,$2-10,$1,$1,4264,false rumors about this beanie
Washington,Bear,12,$5-10,$1-3,$1,40133,State
Washington Capitals,Bear/Hockey,19,$8-11,$3-6,$1-3,41733,NHL licensed
Washington D. C.,Bear,12,$3-8,$1-3,$1,40078,Trade Show
Washington Rhododendron,Bear,13,$5-12,$1-3,$1,40297,Trade Show
Wattlie,Bear,10,$3-8,$1-3,$1,4616,Australia
WAVES (All caps),Whale,4,$20-35,$8-15,$1,4084,Hang tag name all capital letters. Canada
Waves,Whale,"4,5",$1-10,$1,$1,4084,false rumors about this beanie
"Waves (with ""Echo"" hang and tush tags)",Whale,4,$1-10,$1-5,$1,4180,
We Do,Bears,13,$12-25,$4-11,$1-3,40219,Goes cheap on auctions
Weaver,Monkey,13,$4-7,$1-3,$1,40250,
Weaver (with extra tag),Monkey,13,$10-20,$7-12,$1,40250,Brook eld Zoo
Weaver (with extra tag),Monkey,13,$8-15,$4-9,$1,40250,Knott's Berry Farm
Web,Spider,1,$500- 850,$225- 400,$40- 80,4041,authenticated is the higher range
Web,Spider,2,$225- 400,$100- 200,$40- 80,4041,authenticated is the higher range
Web,Spider,3,$175- 300,$90- 200,$40- 80,4041,authenticated is the higher range
Webley,Frog,15,$8-12,$1-5,$1,40484,
Weenie,Dog: Dachshund,3,$20-40,$9-15,$1-3,4013,
Weenie,Dog: Dachshund,"4,5",$1-10,$1,$1,4013,false rumors about this beanie
Whi es,Horse,15,$5-11,$2-5,$1,40679,
Whiskers,Dog: Schnauzer,"6,7",$4-8,$1-3,$1,4317,
Whisper,Deer,5,$1-10,$1,$1,4194,false rumors about this beanie
White,Bear,11,$3-5,$1,$1,4423,Ty Store
White,Bear,15,$100- $250,$50-75,$12- 20,46123,Club HAWKS
White Fang,Moshi Monsters,19,$30-40,$3-5,$1-3,46210,UK - less expensive
White Fang Key-clip,Moshi Monsters,19 sm,$9-12,$3-5,$1-3,46218,UK - less expensive
Whittle,Bear,12,$4-10,$1-3,$1,40096,
Whopper (Big Eyes),Elephant,19,$5-10,$1-3,$1,42119,
Widget,Wow Wow Wubbzy,15,$15-25,$7-15,$1-5,40739,
Wiggly,Squid,"6,7",$1-5,$1,$1,4275,
Wiggy (big eyes),Sea Lion,19,$5-15,$1-3,$1,42132,
Wilbur,Charlotte's Web,14,$10-35,$7-15,$2-5,40449,Dealers are getting more $$ for this one
Wilbur (with DVD style# 40449 or 47061),Charlotte's Web,15,$25-45,$12-20,$2-5,40449 & 47061,Walmart
Wilfred,Dog,19,$6-10,$3-5,$1-2,40596,
William,Bear,14,$7-20,$1-5,$1,46081,Hamley's
William (Closed book),Bear,"7,11",$2-7,$1-3,$1,4632,UK
William (Open book),Bear,"7,11",$2-7,$1-3,$1,4632,Germany
Willoughby,Kangaroo,13,$2-9,$1-3,$1,40188,
Winksy,Bunny Rabbit,13,$3-7,$1,$1,40195,
Winnie the Pooh,Winnie the Pooh,19,$12-25,$3-9,$1-3,40988,
Winnie the Pooh (christmas),Winnie the Pooh,19,$7-17,$2-5,$1-3,47167,
Winnie the Pooh,Bear,Sparkle,$12-25,$3-9,$1-3,41064,
Winnie Woodpecker,Woody Woodpecker Bird,19,$40-70,$25-40,$5-10,42257,Brazil
winstar,Bear,14,$15-25,$8-12,$1-3,46071,Japan
Wirabear,Bear,11,$5-10,$1-3,$1,4631,Malaysia
Wisconsin,Bear,13,$5-12,$1-3,$1,40287,State
Wise,Owl,5,$1-3,$1,$1,4187,
Wiser,Owl,5,$1-3,$1,$1,4238,
Wisest,Owl,"6,7",$1-3,$1,$1,4286,
Wish,Star sh,"7,11",$2-8,$1-3,$1,4594,
Witchy,Bear,15,$8-14,$3-7,$1-3,40577,
Wonton,Panda Bear,15,$15-25,$7-12,$1-3,40657,Dealers are getting more $$ for this one
Woodstock (Musical),Peanuts,17,$10-20,$5-12,$1-3,40852,Musical - if music doesn't work it isn't mint
Woodstock (non musical),Peanuts,17,$8-14,$2-5,$1-3,46167,UK
Woodstock Key-clip,Peanuts,17,$9-15,$2-5,$1-3,40835,
Woodstock Winter Keyfllip,Peanuts,17 sm,$10-25,$4-10,$1-5,40872,
Woody,Bear,"7,10",$2-5,$1-3,$1,4539,
Woody Woodpecker,Woody Woodpecker Bird,19,$40-60,$25-35,$9-22,42256,Brazil
Woolins,Bear,13,$6-14,$1-3,$1,44047,Ty Store
Woolsy,Lamb,BB2.0,$5-11,$1-3,$1,42007,
Wrinkles,Dog: Bulldog,"4,5",$1-10,$1,$1,4103,false rumors about this beanie
Wubbzy,Wow Wow Wubbzy,15,$15-50,$9-20,$1-10,40738,Known dealers are getting the higher side
Wubbzy (with DVD),Wow Wow Wubbzy,15,$25-35,$12-20,$1,40738,Walmart/Sams
